"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"211","BSN","517,803","6,725",29.4,32,92,91,1,1,4,"","McKechnie",1933,"0"
"212","CHC","594,112","7,520",28.7,29.4,100,99,4,3,10,"","Grimm",1933,"0"
"213","CHW","397,789","5,166",29.7,32.3,94,98,4,2,5,"$179,483","Fonseca",1933,"0"
"214","CIN","218,281","2,763",30.8,31.5,97,101,5,1,5,"","Bush",1933,"0"
"215","CLE","387,936","5,038",27.5,26.3,105,105,1,3,7,"$98,580","Peckinpaugh, Falk and Johnson",1933,"0"
"216","DET","320,972","4,115",26.7,28.6,101,100,2,1,7,"$87,450","Harris and Baker",1933,"0"
"217","NYG","604,471","7,850",28.5,28.8,99,96,4,4,11,"","Terry",1933,"0"
"218","NYY","728,014","9,707",28.8,28.4,94,91,9,6,10,"$274,600","McCarthy",1933,"0"
"219","PHA","297,138","3,910",27.3,29.3,100,100,3,2,8,"$149,933","Mack",1933,"0"
"220","PHI","156,421","2,173",28.3,29.3,112,114,1,2,3,"","Shotton",1933,"0"
"221","PIT","288,747","3,750",27.7,29.5,100,99,6,2,6,"","Gibson",1933,"0"
"222","SLB","88,113","1,144",27.8,28.5,105,108,2,1,3,"$89,700","Killefer, Sothoron and Hornsby",1933,"0"
"223","STL","256,171","3,327",29.8,29.4,106,104,8,4,12,"","Street and Frisch",1933,"0"
"224","WSH","437,533","5,757",30.2,31.1,98,97,4,2,9,"$128,850","Cronin",1933,"0"
"225","BOS","610,640","7,930",29,28.5,104,105,3,1,4,"$159,200","Harris",1934,"0"
"226","BRO","434,188","5,639",27.8,27.3,95,96,2,2,5,"","Stengel",1934,"0"
"227","BSN","303,205","4,043",29.2,32.3,92,93,0,2,4,"","McKechnie",1934,"0"
"228","CHC","707,525","9,189",28.6,28.5,98,96,4,5,13,"","Grimm",1934,"0"
"229","CHW","236,559","3,154",29.4,32.3,102,104,4,2,8,"$154,650","Fonseca and Dykes",1934,"0"
"230","CIN","206,773","2,651",29.7,29.1,96,99,4,0,5,"","O'Farrell, Shotton and Dressen",1934,"0"
"231","CLE","391,338","5,017",27.9,26.6,101,100,2,2,6,"$69,500","Johnson",1934,"0"
"232","DET","919,161","11,490",28.1,28.3,100,97,4,3,10,"$81,817","Cochrane",1934,"0"
"233","NYG","730,851","9,745",29.2,28.6,98,95,4,5,11,"","Terry",1934,"0"
"234","NYY","854,682","11,100",28.2,26.7,94,91,8,6,14,"$233,500","McCarthy",1934,"0"
"235","PHA","305,847","4,024",27,25.3,96,97,1,2,7,"$102,000","Mack",1934,"0"
"236","PHI","169,885","2,393",29.1,29.8,113,116,1,0,5,"","Wilson",1934,"0"
"237","PIT","322,622","4,136",28,29.9,103,102,7,3,8,"","Gibson and Traynor",1934,"0"
"238","SLB","115,305","1,517",27.2,28.2,107,110,1,1,4,"$105,750","Hornsby",1934,"0"
"239","STL","325,056","4,222",28.5,28.2,107,104,7,4,10,"$74,500","Frisch",1934,"0"
"240","WSH","330,074","4,343",29.8,31.2,96,96,2,3,8,"$137,200","Cronin",1934,"0"
"241","BOS","558,568","7,070",28.6,29.3,106,106,3,3,5,"$157,200","Cronin",1935,"0"
"242","BRO","470,517","6,111",27.8,29.8,98,99,2,1,6,"","Stengel",1935,"0"
"243","BSN","232,754","3,103",29.3,33.2,91,94,2,1,6,"","McKechnie",1935,"0"
"244","CHC","692,604","8,995",26,27,101,98,5,2,14,"","Grimm",1935,"0"
"245","CHW","470,281","6,108",30.3,29.5,102,103,4,1,10,"$143,050","Dykes",1935,"0"
"246","CIN","448,247","5,898",27.4,27.5,96,98,4,1,7,"","Dressen",1935,"0"
"247","CLE","397,615","5,164",26.4,27.9,102,101,1,3,6,"$101,350","Johnson and O'Neill",1935,"0"
"248","DET","1,034,929","13,100",28.9,28.4,96,93,4,4,9,"$109,900","Cochrane",1935,"0"
"249","NYG","748,748","9,478",28.2,27.5,99,96,4,6,11,"","Terry",1935,"0"
"250","NYY","657,508","8,885",28.4,27,95,91,6,3,13,"$220,800","McCarthy",1935,"0"
"251","PHA","233,173","3,239",27.1,25.7,99,102,1,3,7,"$95,850","Mack",1935,"0"
"252","PHI","205,470","2,601",29.6,27.6,110,113,0,1,5,"","Wilson",1935,"0"
"253","PIT","352,885","4,583",28,29.6,103,102,5,2,9,"","Traynor",1935,"0"
"254","SLB","80,922","1,065",28.1,28.2,103,107,1,2,5,"$108,600","Hornsby",1935,"0"
"255","STL","506,084","6,573",28.4,28.4,104,102,5,7,10,"","Frisch",1935,"0"
"256","WSH","255,011","3,312",28.5,29,97,97,1,2,7,"$101,600","Harris",1935,"0"
"257","BOS","626,895","8,141",29.1,29.3,106,105,5,3,9,"$188,650","Cronin",1936,"0"
"258","BRO","489,618","6,198",28.4,28.6,101,103,1,1,6,"","Stengel",1936,"0"
"259","BSN","340,585","4,311",28.9,30.8,93,95,1,1,6,"","McKechnie",1936,"0"
"260","CHC","699,370","9,083",27.1,27.9,102,99,3,6,14,"","Grimm",1936,"0"
"261","CHW","440,810","5,877",30.1,28.8,103,103,2,3,10,"$132,300","Dykes",1936,"0"
"262","CIN","466,345","6,136",27.9,28.1,93,95,2,2,10,"","Dressen",1936,"0"
"263","CLE","500,391","6,178",26.3,28.1,103,102,2,2,9,"$116,600","O'Neill",1936,"0"
"264","DET","875,948","11,376",30.7,28.1,100,98,5,4,11,"$197,300","Cochrane and Baker",1936,"0"
"265","NYG","837,952","10,743",28.3,28,100,97,4,3,13,"","Terry",1936,"0"
"266","NYY","976,913","12,687",28.1,28.9,97,92,6,7,14,"$243,700","McCarthy",1936,"0"
